;title;preis;Bildschirmdiagonale (cm/Zoll);Bildschirmauflösung;Touchscreen;Bildqualität;Bildschirmdiagonale (cm);Bildschirmdiagonale (Zoll);Bildverhältnis;Paneltyp;Bildschirmmerkmale;Arbeitsspeicher-Typ;Arbeitsspeicher-Größe;Arbeitsspeicher-Konfiguration;Prozessor;Prozessor-Marke;Prozessor-Modell;Prozessor-Nummer;Prozessor-Taktfrequenz;Anzahl Prozessorkerne;Anzahl Threads;Prozessor-Taktfrequenz mit Turbo;Helligkeit;Intel Optane;Grafikkarte;Grafikkarte Hersteller;Festplatte 1;Festplattentyp 1.Festplatte;Bildschirmtyp;Cache-Speicher Typ;Speichergeschwindigkeit;Cachegröße;Chipsatz;Gesamtanzahl Steckplätze;Interner Speicher;Festplattenkapazität 1. Festplatte;Bildschirmkontrast;Regulierbare Helligkeit;LED Hintergrundbeleuchtung;Anzahl installierter Festplatten;Touchscreen-Typ;SSD-Speicher;Grafikspeicher-Typ;Gesamter Speicherplatz in GB;Anschlüsse;Curved display;Grafikspeicher dediziert;max. unterstützter Speicher;Leistungsmerkmale;WLAN;Bluetooth;Betriebssystem;Integriertes Mikrofon;Tastaturbelegung;integrierte Webcam
"https://www.mediamarkt.de/de/product/_asus-vivobook-s15-oled-s533ea-l11012t-2736399.html
";"ASUS, Vivobook S15 OLED (S533EA-L11012T) inkl. Startklar Service Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Grafik, Schwarz
4.4 (24)| Art.-Nr. 2736399 | ASUS";799.;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;39.6 cm;15.6 Zoll;;;Glanz Display-Oberfläche;DDR4;16 GB;;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;;4.2 GHz;400 cd/m²;;;;;;OLED;Intel Cache;;8 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_huawei-matebook-d-14-2748103.html
";"HUAWEI MATEBOOK D 14, Notebook mit 14 Zoll Display, Windows 10 Home, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics 620, Space Gray
4.9 (7)| Art.-Nr. 2748103 | HUAWEI";619.;35.56 cm / 14 Zoll;1.920 x 1.080 Pixel;;Full-HD;35.56 cm;14 Zoll;;IPS (In-Plane Switching);4.8 mm schmaler Rahmen und 84% Screen-to-Body-Ratio und entspiegeltes Display;DDR4;8 GB;;Intel® Core™ i5-10210U Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-10210U;1.6 GHz;;;4.2 GHz;250 cd/m²;;Intel® UHD Graphics 620;Intel;SSD , 512 GB;;IPS;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_asus-vivobook-15-r565ja-ej283t-2676603.html
";"ASUS VivoBook 15 (R565JA-EJ283T), Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Grafik, Slate Grey
4.1 (21)| Art.-Nr. 2676603 | ASUS";569.;39.62 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.62 cm;15.6 Zoll;16:9;;;DDR4;8 GB;;Intel® Core™ i5-1035G1 Prozessor (6M Cache, bis zu 3,60 GHz);Intel®;Core™ i5;i5-1035G1;1.0 GHz;4;8;3.6 GHz;;32GB Intel® Optane™ Memory;;;;;Anti-Glare;Intel Cache;;6 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_microsoft-surface-pro-8-convertible-mit-13-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-256-gb-ssd-intelr-irisr-xe-grafik-platin-2763013.html
";"MICROSOFT Surface Pro 8, 2 in 1 mit 13 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 256 GB SSD, Intel® Iris® Xe-Grafik, Platin
4.3 (18)| Art.-Nr. 2763013 | MICROSOFT";1159.–;33 cm / 13 Zoll;2.880 x 1.920 Pixel;Ja;;33 cm;13 Zoll;3:2;;;LPDDR4X;16 GB;;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.40 GHz;4;;4.20 GHz;;;Intel® Iris® Xe-Grafik;Intel;;;PixelSense Flow;;;8 MB;;;;;;;;;Kapazitiver Touchscreen;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_asus-zenbook-ux482ea-hy197t-notebook-mit-14-zoll-display-touchscreen-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-intel-iris-xe-graphics-blau-2774785.html
";"ASUS ZenBook Duo 14 (UX482EA-HY197T) Intel® Evo™, Notebook mit 14 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Blau
4.9 (11)| Art.-Nr. 2774785 | ASUS";899.–;35.6 cm / 14 Zoll;1.920 x 1.080 Pixel;Ja;Full-HD;35.6 cm;14 Zoll;;IPS (In-Plane Switching);;LPDDR4X;16 GB;;Intel® Core™ i5-1135G7 Prozessor (8 MB Cache, bis zu 4,20 GHz);Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;;4.2 GHz;400 cd/m²;;;;;;IPS;;;8 MB;;;;;;;Ja;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_medion-akoya%C2%AE-s14405-md62097-2710241.html
";"MEDION AKOYA® S14405 (MD62097), Convertible mit 14 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Integrierte Intel® UHD Graphics, Titan Grau
2.5 (2)| Art.-Nr. 2710241 | MEDION";649.;35.5 cm / 14 Zoll;1.920 x 1.080;Ja;Full-HD;35.5 cm;14 Zoll;16:9;AHVA (Advanced Hyper-Viewing Angle);;DDR4;8 GB;1x 8 GB;Intel® Core™ i5-10210U Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-10210U;1.6 GHz;4;8;4.2 GHz;;;;;;;;;;;;;;;;;Ja;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_lenovo-yoga-slim-7i-notebook-mit-14-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-intel-iris-xe-grafik-schiefergrau-2742674.html
";"LENOVO Yoga Slim 7i EVO mit Schutzhülle, Notebook mit 14 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel Iris Xe Grafik, Schiefergrau
2.3 (4)| Art.-Nr. 2742674 | LENOVO";749.;35.56 cm / 14 Zoll;1.920 x 1.080 Pixel;;Full-HD;35.56 cm;14 Zoll;16:9;;Matt, 100 % sRGB Farbraumabdeckung;DDR4;8 GB;1x 8 GB;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;8;;300 cd/m²;;;;;;IPS;;3.200 MHz;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_lenovo-legion-5-15imh05-gaming-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-geforcer-gtx-1650-ti-phantom-black-2764390.html
";"LENOVO Legion 5i, Gaming Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, GeForce® GTX 1650 Ti, Phantom Black
3.9 (12)| Art.-Nr. 2764390 | LENOVO";949.;39.62 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.62 cm;15.6 Zoll;16:9;;144 Hz, 100 % sRGB, DolbyVision;DDR4;16 GB;2x 8 GB;Intel® Core™ i5-10300H Prozessor (8 MB Cache, bis zu 4,50 GHz);Intel®;Core™ i5;i5-10300H;2.50 GHz;;8;4.50 GHz;300 cd/m²;;;;;;IPS;;2933 MHz;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_hp-b2b-elitebook-x360-1030-g3-2484835.html
";"HP - B2B EliteBook x360 1030 G3, Convertible mit 13,3 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Intel® UHD-Grafik 620, Silber
Produkt bewerten| Art.-Nr. 2484835 | HP - B2B";899.–;33.8 cm / 13.3 Zoll;1.920 x 1.080 Pixel;Ja;Full-HD;33.8 cm;13.3 Zoll;16:9;;;LPDDR3;8 GB;;Intel® Core™ i5-8250U Prozessor (bis zu 3,40 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-8250U;1.60 GHz;4;;;;;;;;;IPS;;2133 MHz;;;;8 GB;;;;Ja;;;;;;;;;16 GB;;;;;;;
"https://www.mediamarkt.de/de/product/_microsoft-surface-pro-7-2604960.html
";"MICROSOFT Surface Pro 7, Convertible mit 12,3 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 128 GB SSD, Intel® Iris™ Plus Grafik, Platinum
4.1 (45)| Art.-Nr. 2604960 | MICROSOFT";949.;31.24 cm / 12.3 Zoll;2.736 x 1.824 Pixel;Ja;;31.24 cm;12.3 Zoll;3:2;;;LPDDR4X;8 GB;;Intel® Core™ i5-1035G4 Prozessor (bis zu 3,70 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-1035G4;1.1 GHz;4;8;3.7 GHz;;;;;;;Pixel Sense;Intel Cache;3733 MHz;6 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_apple-mwp42d-a-macbook-pro-2654597.html
";"APPLE MWP42D/A MacBook Pro, Notebook mit 13,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Plus Grafik, Space Grau
4.3 (7)| Art.-Nr. 2654597 | APPLE";1699.–;33.78 cm / 13.3 Zoll;2.560 x 1.600 Pixel;;;33.78 cm;13.3 Zoll;;;Retina Display;LPDDR4X;16 GB;;2.0 GHz Quad‑Core Intel Core i5 der 10. Generation (Turbo Boost bis zu 3.8 GHz);Intel®;Core™ i5;i5-apple;2.0 GHz;4;;3.8 GHz;500 cd/m²;;Intel Iris Plus Grafik;Intel;;;IPS;;3.733 MHz;;;;;;;;Ja;1;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_dell-g15-5511-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-nvidia-geforce-rtx-3050-ti-grau-2814051.html
";"DELL G15 5511, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050 Ti, Grau
Produkt bewerten| Art.-Nr. 2814051 | DELL";1099.–;39.6 cm / 15.6 Zoll;1920 x 1080 Pixel;;Full-HD;39.6 cm;15.6 Zoll;16:9;;120 Bildwiederholrate;DDR4;16 GB;2x 8 GB;Intel® Core™ i5-11260H Prozessor 12 MB Cache, bis zu 4,40 GHz;Intel®;Core™ i5;i5-11260H;2.1 GHz;6;;4.4 GHz;250 cd/m²;;NVIDIA GeForce RTX 3050 Ti;Nvidia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_huawei-matebook-d15-notebook-mit-3962-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-intelr-irisr-xe-grafik-space-gray-2783158.html
";"HUAWEI Matebook D15, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe Grafik, Space Gray
5.0 (1)| Art.-Nr. 2783158 | HUAWEI";899.;39.62 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.62 cm;15.6 Zoll;;;;DDR4;16 GB;;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.4 GHz;;;4.2 GHz;250 cd/m²;;Intel® Iris® Xe Grafik;Intel®;;;IPS;Intel Cache;3200 MHz;8 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_hp-envy-17-cr0375ng-notebook-mit-173-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-1-tb-ssd-nvidia-geforce-rtx-2050-silber-2826470.html
";"HP ENVY 17-cr0375ng, Notebook mit 17,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 1 TB SSD, NVIDIA GeForce RTX 2050, Silber
Produkt bewerten| Art.-Nr. 2826470 | HP";1949.–;43.9 cm / 17.3 Zoll;3.840 x 2.160 Pixel;Nein;UHD 4K;43.9 cm;17.3 Zoll;;IPS (In-Plane Switching);;DDR4;16 GB;2x 8 GB;Intel® Core™ i7-1255U Prozessor (12 MB Cache, bis zu 4,70 GHz);Intel®;Core™ i5;i7-1255U;1.7 GHz;10;;4.7 GHz;400 cd/m²;;;;;;IPS;;3200 MHz;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_lenovo-b2b-thinkpad-l15-2674419.html
";"LENOVO - B2B ThinkPad L15, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Integrated Intel UHD Graphics, Schwarz
Produkt bewerten| Art.-Nr. 2674419 | LENOVO - B2B";999.–;39.62 cm / 15.6 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;39.62 cm;15.6 Zoll;;IPS (In-Plane Switching);IPS 250 Nits Anti-glare;DDR4;8 GB;1x 8 GB;Intel® Core™ i5-10210U Prozessor (6 MB Cache, bis zu 4.20 GHz);Intel®;Core™ i5;i5-10210U;1.6 GHz;4;8;4.2 GHz;;;;;;;IPS;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_samsung-galaxy-book-pro-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-256-gb-ssd-intelr-irisr-xe-mystic-silver-2773602.html
";"SAMSUNG Galaxy Book Pro, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Intel® Iris® Xe, Mystic Silver
Produkt bewerten| Art.-Nr. 2773602 | SAMSUNG";1099.–;39.62 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.62 cm;15.6 Zoll;16:9;;;LPDDR4X;8 GB;1x 8 GB;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.4 GHz;;;4.2 GHz;500 cd/m²;;Intel® Iris® Xe;Intel;;;AMOLED;;;;;;256 GB;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_hp-spectre-x360-14-ef0356ng-convertible-mit-135-zoll-display-touchscreen-intelr-coretm-i5-prozessor-16-gb-ram-1-tb-ssd-intel-iris-xe-grafik-blau-2826444.html
";"HP Spectre x360 14-ef0356ng, Convertible mit 13,5 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 16 GB RAM, 1 TB SSD, Intel Iris Xe Grafik, Blau
Produkt bewerten| Art.-Nr. 2826444 | HP";1949.–;34.3 cm / 13.5 Zoll;1.920 x 1.280 Pixel;Ja;WUXGA+;34.3 cm;13.5 Zoll;;IPS (In-Plane Switching);;LPDDR4X;16 GB;;Intel® Core™ i7-1255U Prozessor (12 MB Cache, bis zu 4,70 GHz);Intel®;Core™ i5;i7-1255U;1.7 GHz;10;;4.7 GHz;400 cd/m²;;;;;;IPS;;4266 MHz;;;;;;;;Ja;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_medion-s14409-i5-1135g716gb512gb-galaxy-blue-2847442.html
";"MEDION AKOYA® S14409, Creator Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Grafik, Galaxy blue
Produkt bewerten| Art.-Nr. 2847442 | MEDION";669.;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.6 cm;15.6 Zoll;16:9;AHVA (Advanced Hyper-Viewing Angle);;GDDR4;16 GB;2x 8 GB;Intel® Core™ i5-1135G7 Prozessor (8 MB Cache, bis zu 4,20 GHz);Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;8;4.2 GHz;;;;;;;FHD AHVA;Intel® Cache;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_dell-b2b-latitude-3510-2683016.html
";"DELL - B2B Latitude 3510, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Intel® UHD-Grafik , Grau
Produkt bewerten| Art.-Nr. 2683016 | DELL - B2B";709.–;39.6 cm / 15.6 Zoll;;Nein;Full-HD;39.6 cm;15.6 Zoll;;;;DDR4;8 GB;1 x 8 GB;Intel® Core™ i5-10210U Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-10210U;1.6 GHz;4;;4.2 GHz;220 cd/m²;;;;;;WVA;;;6 MB;;;;;700:1;;Ja;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_acer-travelmate-spin-p4-tmp414rn-51-56ka-mit-tastaturbeleuchtung-convertible-mit-14-zoll-display-touchscreen-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-intel-iris-xe-graphics-blau-2716010.html
";"ACER TravelMate Spin P4 (TMP414RN-51-56KA) mit Tastaturbeleuchtung, Convertible mit 14 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Blau
Produkt bewerten| Art.-Nr. 2716010 | ACER";1069.–;35.56 cm / 14 Zoll;1.920 x 1.080;Ja;Full-HD;35.56 cm;14 Zoll;16:9;IPS (In-Plane Switching);Acer CineCrystal Multi-Touch Full HD IPS Display mit LED-Backlight;DDR4;8 GB;1x 8 GB;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.40 GHz;4;8;4.20 GHz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_medion-akoyar-e15415-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-integrierte-intelr-uhd-grafik-grau-2803809.html
";"MEDION AKOYA® E15415, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Integrierte Intel® UHD Grafik, Grau
Produkt bewerten| Art.-Nr. 2803809 | MEDION";599.;39.6 cm / 15.6 Zoll;1.920 x 1.080;;Full-HD;39.6 cm;15.6 Zoll;16:9;AHVA (Advanced Hyper-Viewing Angle);;DDR4;8 GB;;Intel® Core™ i5-10210U Prozessor 6 MB Cache, bis zu 4,20 GHz;Intel®;Core™ i5;i5-10210U;1.6 GHz;4;8;4.2 GHz;;;;;;;IPS;Intel® smart Cache;;6 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_lenovo-ideapad-gaming-3i-gaming-notebook-mit-16-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-nvidia-geforce-rtx-3060-onyx-grey-2834801.html
";"LENOVO IdeaPad Gaming 3i, Gaming-Notebook mit 16 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Nvidia GeForce RTX 3060, Onyx Grey
Produkt bewerten| Art.-Nr. 2834801 | LENOVO";1519.–;40.64 cm / 16 Zoll;2560 x 1600 Pixel;;QSXGA;40.64 cm;16 Zoll;16:10;;Matt, 500 cd/m², 165 Hz, 100 % sRGB Farbraumabdeckung, DC Dimmer;DDR4;16 GB;2x 8 GB SO-DIMM;Intel® Core™ i5-12500H Prozessor 18 MB Cache, bis zu 4,50 GHz;Intel®;Core™ i5;i5-12500H;2.5 GHz;;16;;500 cd/m²;;;;;;IPS;;3200 MHz;;;;;;;ja;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_hp-pavilion-14-dv2375ng-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-1-tb-ssd-intel-iris-xe-grafik-pink-2826430.html
";"HP Pavilion 14-dv2375ng, Notebook mit 14 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 1 TB SSD, Intel Iris Xe Grafik, Pink
Produkt bewerten| Art.-Nr. 2826430 | HP";1249.–;35.6 cm / 14 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;35.6 cm;14 Zoll;;IPS (In-Plane Switching);;DDR4;16 GB;2x 8 GB;Intel® Core™ i7-1255U Prozessor (12 MB Cache, bis zu 4,70 GHz);Intel®;Core™ i5;i7-1255U;1.7 GHz;10;;;400 cd/m²;;;;;;IPS;;3200 MHz;;;;;;;;Ja;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_hp-envy-17-cr0357ng-notebook-mit-173-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-nvidia-geforce-rtx-2050-silber-2826469.html
";"HP ENVY 17-cr0357ng, Notebook mit 17,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 2050, Silber
Produkt bewerten| Art.-Nr. 2826469 | HP";1449.–;43.9 cm / 17.3 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;43.9 cm;17.3 Zoll;;IPS (In-Plane Switching);;DDR4;16 GB;2x 8 GB;Intel® Core™ i5-1235U Prozessor (12 MB Cache, bis zu 4,40 GHz);Intel®;Core™ i5;i5-1235U;1.2 GHz;10;;4.4 GHz;300 cd/m²;;;;;;IPS;;3200 MHz;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_dell-b2b-latitude-5510-2697952.html
";"DELL - B2B Latitude 5510, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Intel® UHD Graphics, Grau
Produkt bewerten| Art.-Nr. 2697952 | DELL - B2B";999.–;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;39.6 cm;15.6 Zoll;16:9;;;DDR4;8 GB;1 x 8 GB;Intel® Core™ i5-10210U Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-10210U;1.6 GHz;4;;4.2 GHz;;;;;;;WVA;;;;;;;;700:1;;Ja;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_medion-e30-crawler-i5-12450h16gb512gb-black-2847445.html
";"MEDION ERAZER® Crawler E30, Gaming Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, GeForce RTX™ 3050, Black
Produkt bewerten| Art.-Nr. 2847445 | MEDION";999.;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.6 cm;15.6 Zoll;;;;GDDR4;16 GB;2x 8 GB;Intel® Core™ i5-12450H Prozessor (12 MB Cache, bis zu 4,40 GHz);Intel®;Core™ i5;i5-12450H;3.30 GHz;8;12;4.40 GHz;;;GeForce RTX™ 3050;NVIDIA®;;;;Intel® Cache;;12 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_microsoft-surface-laptop-4-notebook-mit-135-zoll-display-touchscreen-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-intelr-irisr-xe-grafik-sandstein-2792391.html
";"MICROSOFT Surface Laptop 4, Notebook mit 13,5 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel® Iris® Xe-Grafik, Sandstein
Produkt bewerten| Art.-Nr. 2792391 | MICROSOFT";1319.–;34.29 cm / 13.5 Zoll;2256 x 1504 Pixel;Ja;;34.29 cm;13.5 Zoll;3:2;;;DDR4;8 GB;;Intel® Core™ i5-1135G7-Prozessor 8 MB Cache, bis zu 4,20 GHz;Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;;4.2 GHz;;;Intel® Iris® Xe-Grafik;Intel;;;;;;;;;;;;;;;Kapazitiver Touchscreen;Ja;shared-memory;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_dell-b2b-latitude-7200-2639166.html
";"DELL - B2B Latitude 7200, Convertible mit 12,3 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, UHD Grafik 620, Schwarz/Silber
Produkt bewerten| Art.-Nr. 2639166 | DELL - B2B";1799.–;31.2 cm / 12.3 Zoll;1.920 x 1.280 Pixel;Ja;WUXGA;31.2 cm;12.3 Zoll;3:2;;Multitouch;LPDDR3;16 GB;;Intel® Core™ i5-8365U Prozessor (bis zu 4,10 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-8365U;1.6 GHz;;;;400 cd/m²;;;;;;;;2133 MHz;;;;16 GB;;;;Ja;;Kapazitiver Touchscreen;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_hp-b2b-250-g7-2718597.html
";"HP - B2B 250 G7, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Intel® UHD Grafik, Silber
Produkt bewerten| Art.-Nr. 2718597 | HP - B2B";799.–;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;39.6 cm;15.6 Zoll;16:9;Standard Viewing Angle (SVA);;DDR4;8 GB;1x 8 GB;Intel® Core™ i5-1035G1 Prozessor (bis zu 3,60 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-1035G1;1.0 GHz;;;;220 cd/m²;;;;;;SVA;;2.666 MHz;;;;;;;;Ja;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_dell-b2b-latitude-5520-2729364.html
";"DELL - B2B LATITUDE 5520, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 256 GB SSD, Intel Iris Xe Grafik, Grau
Produkt bewerten| Art.-Nr. 2729364 | DELL - B2B";1199.–;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.6 cm;15.6 Zoll;16:9;IPS (In-Plane Switching);;DDR4;8 GB;1x 8 GB;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;;4.2 GHz;;;;;;;IPS;Intel Cache;3.200 MHz;;;;;;;;;;;;;;;;;;;;;;;;
